[2021-01-12 10:58:45,815]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:58:50,584]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:50,611]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:51,691]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:58:53,005]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:53,031]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:54,101]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:58:55,402]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:55,437]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:56,538]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:58:57,783]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:58:57,817]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:58:58,922]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:59:00,239]-[util.py]-[INFO]:登陆完毕
[2021-01-12 10:59:00,275]-[util.py]-[WARNING]:断言成功
[2021-01-12 10:59:01,357]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:03:31,764]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:03:31,800]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:03:32,872]-[util.py]-[INFO]:确认完成
[2021-01-12 11:03:34,144]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:03:34,174]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:03:35,235]-[util.py]-[INFO]:确认完成
[2021-01-12 11:03:36,480]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:03:36,531]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:03:37,588]-[util.py]-[INFO]:确认完成
[2021-01-12 11:03:38,829]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:03:38,880]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:03:39,956]-[util.py]-[INFO]:确认完成
[2021-01-12 11:03:41,208]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:03:41,242]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:03:42,297]-[util.py]-[INFO]:确认完成
[2021-01-12 11:03:43,542]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:03:43,572]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:03:44,637]-[util.py]-[INFO]:确认完成
[2021-01-12 11:03:45,875]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:03:45,902]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:03:46,959]-[util.py]-[INFO]:确认完成
[2021-01-12 11:03:48,217]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:03:48,242]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:03:49,299]-[util.py]-[INFO]:确认完成
[2021-01-12 11:03:50,530]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:03:50,559]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:03:51,616]-[util.py]-[INFO]:确认完成
[2021-01-12 11:03:52,934]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:03:53,925]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:03:55,301]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:03:56,715]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:03:56,761]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:03:57,929]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:04:00,705]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:04:00,756]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:04:01,900]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:04:03,245]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:04:03,296]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:04:04,419]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:04:05,718]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:04:05,766]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:04:06,936]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:04:08,222]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:04:08,276]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:04:09,383]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:04:10,723]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:04:10,775]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:04:11,912]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:04:13,241]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:04:13,286]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:04:14,442]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:04:15,780]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:04:15,834]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:04:16,972]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:08:09,933]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:09,990]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:11,066]-[util.py]-[INFO]:确认完成
[2021-01-12 11:08:12,931]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:12,987]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:14,065]-[util.py]-[INFO]:确认完成
[2021-01-12 11:08:15,335]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:15,372]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:16,479]-[util.py]-[INFO]:确认完成
